term	popularity	commerciality
facebook doug cornelius pastor	1749	1125
facebook castration party	1749	3440
facebook nathalie jacxsens	1749	570
facebook pages for autoimmune disorders	3186	4232
facebook lingo ch.	3957	2172
facebook font change	3778	2453
facebook chat emoticons	4661	4881
facebook blunders	1749	570
facebook beth maree carr	1749	570
facebook timeline privacy	1749	2297
facebook duplicate likes	3186	2383
facebook public offering	2649	3529
facebook advertising scam	1749	906
facebook jukebox revue	1749	2039
facebook cover size	2649	2112
facebook search	6201	7611
facebook blackburn chubb	3186	1631
facebook friends and enemies	3778	570
facebook log in	9098	8923
facebook.com mccainuk	2649	1125
facebook maria keith sylvester	1749	1254
facebook trolls	1749	758
facebook cover photo dimensions	3536	1025
facebook ben hodgson	1749	570
facebook in mexico	3186	1877
facebook mobile errors	1749	1704
facebook cofounder	1749	906
facebook jenean m. gumina	1749	758
facebook applications	1749	1877
facebook wall iberostar grand bavaro punta cana	3186	4232
facebook company	1749	1254
facebook titelbilder	4604	1704
facebook advantages social	3957	570
facebook friend add don t email	2649	1537
facebook events icon	4205	758
facebook is blank	2649	1025
facebook international	1749	1125
facebook feet	3186	570
facebook campz4u	3536	570
facebook barb pageler	2649	570
facebook on acer z5 all in one doesnt work	1749	2776
facebook greenwich bexley lewisham blackheath career advisor	4205	1704
facebook link	3186	1631
facebook symbols	4767	4810
facebook people search	4687	5052
facebook aas yun	3186	906
facebook toulouse mohamed mera	2649	570
facebook teddy fujan	1749	1948
facebook biblesoft	2649	3469
facebook ecards	1749	3440
facebook critiques	1749	570
facebook hacking software	4814	4840
facebook posts	4092	1877
facebook privacy	4979	4999
facebook not working	1749	2511
facebook site	3957	1125
facebook tony diorio vermont	1749	1025
facebook virus	4205	4462
facebook for android	2649	3602
facebook giveaways	1749	3440
facebook mary eck hankins	1749	906
facebook optimized browser	1749	2453
facebook creep	1749	570
facebook log	4299	3501
facebook en espanol	4604	2776
facebook home	4433	2241
facebook quotes	4884	4953
facebook gymnasts	2649	570
facebook brian mcarthy loveladies new jersey	1749	1631
facebook the overlord cia	1749	1254
facebook timeline mandatory march	1749	1125
